timestamp,name,country,tags,image,link
2026-03-22T16:48:46.321449,PogányInduló,HU,TRAP|HIP-HOP|FRIDAY,https://media.appmiral.com/prod/performance/0056/100/thumb_5599127_performance_960.jpeg,/en/programs-lineup-2026#/artist/2074010-pogany-indulo?from=%2F
2026-03-22T16:48:46.321699,Quimby,HU,ALTERNATIVE ROCK|ROCK|SATURDAY,https://media.appmiral.com/prod/performance/0057/02/thumb_5601091_performance_960.jpeg,/en/programs-lineup-2026#/artist/2074084-quimby?from=%2F
2026-03-22T16:48:46.321947,Rose Gray,UK,ELECTROPOP|DANCE-POP|TECHNO|FRIDAY,https://media.appmiral.com/prod/performance/0056/88/thumb_5587822_performance_960.jpeg,/en/programs-lineup-2026#/artist/2068355-rose-gray?from=%2F
2026-03-22T16:48:48.506385,Rossi.,UK,TECH-HOUSE|ELECTRONIC|THURSDAY,https://media.appmiral.com/prod/performance/0057/08/thumb_5607889_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079179-rossi.?from=%2F
2026-03-22T16:48:48.506651,Sef,NL,HIP-HOP|RAP|FUNK|THURSDAY,https://media.appmiral.com/prod/performance/0056/95/thumb_5594689_performance_960.jpeg,/en/programs-lineup-2026#/artist/2069920-sef?from=%2F
2026-03-22T16:48:48.506903,sim0ne,SCO,HOUSE|ELECTRONIC|TECHNO|FRIDAY,https://media.appmiral.com/prod/performance/0056/81/thumb_5580976_performance_960.jpeg,/en/programs-lineup-2026#/artist/2065319-sim0ne?from=%2F
2026-03-22T16:48:50.111932,Sisi,HU,RAP|HIP-HOP|SATURDAY,https://media.appmiral.com/prod/performance/0056/78/thumb_5577103_performance_960.jpeg,/en/programs-lineup-2026#/artist/2064823-sisi?from=%2F
2026-03-22T16:48:50.112184,Ski Aggu,DE,HIP-HOP|RAP|FRIDAY,https://media.appmiral.com/prod/performance/0056/78/thumb_5577107_performance_960.jpeg,/en/programs-lineup-2026#/artist/2064825-ski-aggu?from=%2F
2026-03-22T16:48:50.112478,Soft Loft,CH,POP|INDIE|TUESDAY,https://media.appmiral.com/prod/performance/0057/09/thumb_5608991_performance_960.jpeg,/en/programs-lineup-2026#/artist/2079563-soft-loft?from=%2F
2026-03-22T16:48:52.283685,SwimmingPaul,FR,ELECTRONIC|HOUSE|TECHNO|WEDNESDAY,https://media.appmiral.com/prod/performance/0056/96/thumb_5595696_performance_960.jpeg,/en/programs-lineup-2026#/artist/2072489-swimming-paul?from=%2F
